,cost,opt,ratio,time,V,E,R
245,61,60,1.0166666666666666,0.0003664169926196337,10,25,5
246,40,39,1.0256410256410255,0.00040259602246806026,9,19,5
247,23,23,1.0,0.00024823599960654974,8,14,5
248,52,51,1.0196078431372548,0.0005640760064125061,12,32,7
249,36,36,1.0,0.00021359894890338182,4,3,2
250,55,55,1.0,0.0001986949355341494,7,12,5
251,49,49,1.0,0.0003543159691616893,14,43,5
252,57,57,1.0,0.00030987500213086605,5,5,3
253,49,49,1.0,0.00018034392269328237,11,26,4
254,56,56,1.0,0.0003648619749583304,9,17,6
255,50,50,1.0,0.0003222100203856826,12,32,7
256,59,59,1.0,0.00042121292790398,14,43,5
257,42,42,1.0,0.0002758929622359574,9,19,6
258,36,35,1.0285714285714285,0.00034392497036606073,9,19,5
259,38,38,1.0,0.00025031802942976356,7,12,3
260,34,34,1.0,0.00021949404617771506,8,17,3
261,47,47,1.0,0.0003720340318977833,13,37,6
262,43,43,1.0,0.0002509820624254644,9,17,5
263,52,52,1.0,0.00023301603505387902,8,17,2
264,55,55,1.0,0.00032546493457630277,11,28,5
265,55,55,1.0,0.00029105303110554814,9,19,6
266,45,45,1.0,0.0003178399638272822,10,22,5
267,50,50,1.0,0.0003522829501889646,9,19,6
268,28,28,1.0,0.0005331919528543949,5,5,2
269,41,41,1.0,0.00037736701779067516,9,23,5
270,44,44,1.0,0.00024637498427182436,8,14,5
271,39,39,1.0,0.00021183700300753117,7,12,2
272,43,43,1.0,0.000273853016551584,10,25,5
273,51,51,1.0,0.00039167399518191814,11,26,5
274,36,36,1.0,0.0002228879602625966,10,22,2
275,34,34,1.0,0.00022593699395656586,5,5,4
276,48,48,1.0,0.0003219589707441628,8,14,3
277,68,68,1.0,0.000535450002644211,10,21,7
278,36,36,1.0,0.0002890729811042547,6,8,5
279,58,58,1.0,0.0003737109946087003,9,19,6
280,41,41,1.0,0.00031605304684489965,10,22,6
281,51,51,1.0,0.0003297310322523117,7,10,5
282,42,42,1.0,0.0004165519494563341,11,26,4
283,61,61,1.0,0.000339240999892354,7,10,7
284,63,63,1.0,0.00030328897992148995,12,31,7
285,40,40,1.0,0.00023770396364852786,7,10,2
286,48,48,1.0,0.00020191899966448545,4,3,2
287,37,37,1.0,0.0003598030307330191,6,7,3
288,56,56,1.0,0.0001966090057976544,5,5,2
289,53,53,1.0,0.0002323209773749113,9,23,4
290,34,34,1.0,0.00029777101008221507,7,10,4
291,26,26,1.0,0.0002217240398749709,6,7,3
292,22,22,1.0,0.00021078099962323904,8,17,3
293,33,33,1.0,0.0004171630134806037,7,10,7
294,30,30,1.0,0.00029746099608018994,9,19,3
295,35,35,1.0,0.00039365701377391815,12,31,3
296,43,43,1.0,0.00017725699581205845,5,5,3
297,28,28,1.0,0.00020452099852263927,4,3,2
298,40,40,1.0,0.0005501199630089104,11,28,3
299,14,14,1.0,0.00020467903232201934,7,12,2
300,42,41,1.024390243902439,0.00030984001932665706,8,17,3
301,50,50,1.0,0.00024729600409045815,11,26,5
302,42,42,1.0,0.00020887597929686308,8,13,2
303,38,38,1.0,0.00033698201877996325,9,23,5
304,35,35,1.0,0.00020886200945824385,10,22,2
305,49,49,1.0,0.000315359968226403,9,23,4
306,34,34,1.0,0.00027454597875475883,4,3,2
307,62,62,1.0,0.00033902196446433663,7,10,6
308,36,36,1.0,0.0003354219952598214,7,10,4
309,60,60,1.0,0.0005285299848765135,14,43,5
310,18,18,1.0,0.00029004598036408424,9,19,2
311,28,28,1.0,0.00020861602388322353,6,8,2
312,46,46,1.0,0.00021203001961112022,5,5,4
313,69,69,1.0,0.00030220503685995936,7,10,4
314,55,55,1.0,0.0003611649735830724,10,21,6
315,34,34,1.0,0.00017743295757099986,6,8,3
316,42,42,1.0,0.00028611894231289625,12,31,4
317,61,61,1.0,0.0005012089968658984,12,32,7
318,42,42,1.0,0.000238505017478019,7,12,2
319,21,21,1.0,0.00031812500674277544,10,22,3
320,39,39,1.0,0.0002949419431388378,8,14,3
321,54,54,1.0,0.00033372396137565374,8,13,7
