,cost,opt,ratio,time,V,E,R
185,21,21,1.0,0.00016111903823912144,5,10,3
186,58,56,1.0357142857142858,0.0005614489782601595,17,136,6
187,31,31,1.0,0.0003373460494913161,16,120,4
188,57,57,1.0,0.0003023630124516785,6,15,7
189,29,29,1.0,0.0003939040470868349,20,190,7
190,21,21,1.0,0.0002983399899676442,15,105,3
191,20,20,1.0,0.0002715800073929131,7,21,4
192,21,21,1.0,0.00022639503004029393,6,15,4
193,40,40,1.0,0.00054651201935485,11,55,7
194,31,31,1.0,0.0004268900374881923,18,153,5
195,41,41,1.0,0.00042278593173250556,15,105,7
196,45,45,1.0,0.00042954395757988095,18,153,6
197,21,20,1.05,0.00025029294192790985,14,91,3
198,10,10,1.0,0.0005437019863165915,17,136,3
199,25,25,1.0,0.0002911339979618788,7,21,4
200,26,26,1.0,0.00044008000986650586,11,55,5
201,36,36,1.0,0.00029305601492524147,15,105,4
202,19,19,1.0,0.0001677619875408709,6,15,3
203,53,51,1.0392156862745099,0.0006165269878692925,10,45,7
204,38,36,1.0555555555555556,0.0004188299644738436,20,190,6
205,59,54,1.0925925925925926,0.0005546240718103945,20,190,6
206,62,62,1.0,0.0005006550345569849,11,55,7
207,31,31,1.0,0.00043375202221795917,9,36,6
208,45,45,1.0,0.0002794890315271914,8,28,6
209,34,34,1.0,0.00034147099358960986,16,120,4
210,33,33,1.0,0.000307668000459671,7,21,6
211,24,24,1.0,0.0003832560614682734,14,91,3
212,19,19,1.0,0.0002527270116843283,18,153,3
213,39,38,1.0263157894736843,0.0005070319748483598,14,91,5
214,45,45,1.0,0.0003069750382564962,5,10,7
215,42,42,1.0,0.00027628103271126747,6,15,7
216,31,31,1.0,0.0003783959546126425,5,10,4
217,37,37,1.0,0.00034741597482934594,6,15,7
218,46,46,1.0,0.0006047540227882564,14,91,7
219,22,21,1.0476190476190477,0.00041932595195248723,20,190,4
220,26,26,1.0,0.00018341903341934085,5,10,4
221,29,27,1.0740740740740742,0.0008269139798358083,14,91,7
222,20,19,1.0526315789473684,0.00034364103339612484,13,78,4
223,30,30,1.0,0.00026709999656304717,15,105,5
224,48,45,1.0666666666666667,0.0004704470047727227,20,190,5
225,29,28,1.0357142857142858,0.00022712798090651631,9,36,3
226,31,29,1.0689655172413792,0.0003953009727410972,20,190,5
227,36,36,1.0,0.0003141490160487592,10,45,5
